"text","label"
"Eu amo assistir filmes de ação","positivo"
"O novo filme da Marvel é incrível","positivo"
"Não gostei do final do filme","negativo"
"O ator principal é muito talentoso","positivo"
"O filme é muito ruim, não vale a pena assistir","negativo"
"Eu adorei a trilha sonora do filme","positivo"
"O filme é muito longo e chato","negativo"
"Eu recomendaria esse filme para todos","positivo"
"O filme é muito confuso e difícil de entender","negativo"
"Eu amo a forma como o filme aborda temas sociais","positivo"
